EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
57	10:16:14	2	0.0063	0.10337996924365009	0.06340310722589493	0.9846	0.9846	0.9846
58	10:16:22	3	0.0063	0.14190200523093896	0.06323427706956863	0.9846	0.9846	0.9846
59	10:16:30	4	0.0063	0.09593952143633808	0.06301935017108917	0.9846	0.9846	0.9846
60	10:16:39	1	0.0031	0.12104641066657172	0.06303694099187851	0.9846	0.9846	0.9846
61	10:16:47	2	0.0031	0.1123935823087339	0.06325297802686691	0.9846	0.9846	0.9846
62	10:16:55	3	0.0031	0.10336381417733652	0.06347677856683731	0.9846	0.9846	0.9846
63	10:17:04	4	0.0031	0.12307768397861057	0.06305757910013199	0.9846	0.9846	0.9846
64	10:17:12	1	0.0016	0.11745681586088957	0.06282420456409454	0.9846	0.9846	0.9846
65	10:17:20	2	0.0016	0.09222944577534993	0.06278196722269058	0.9846	0.9846	0.9846
66	10:17:29	3	0.0016	0.08793780538770887	0.06269573420286179	0.9846	0.9846	0.9846
67	10:17:37	4	0.0016	0.07065894427122893	0.06262477487325668	0.9846	0.9846	0.9846
68	10:17:45	1	0.0008	0.09767731030782063	0.0626249611377716	0.9846	0.9846	0.9846
69	10:17:53	2	0.0008	0.11929484649940773	0.06269385665655136	0.9846	0.9846	0.9846
70	10:18:02	3	0.0008	0.0939560642948857	0.06272123008966446	0.9846	0.9846	0.9846
71	10:18:10	4	0.0008	0.09624203929194698	0.06269172579050064	0.9846	0.9846	0.9846
72	10:18:19	1	0.0004	0.08992973963419597	0.06265907734632492	0.9846	0.9846	0.9846
73	10:18:27	2	0.0004	0.10527382515094898	0.06264518946409225	0.9846	0.9846	0.9846
74	10:18:35	3	0.0004	0.08326046113614682	0.06265627592802048	0.9846	0.9846	0.9846
75	10:18:44	4	0.0004	0.10492050206219708	0.06268010288476944	0.9846	0.9846	0.9846
76	10:18:52	1	0.0002	0.1309121714697944	0.06267507374286652	0.9846	0.9846	0.9846
77	10:19:00	2	0.0002	0.11834063794877794	0.06266903132200241	0.9846	0.9846	0.9846
78	10:19:09	3	0.0002	0.09403036700354682	0.06267180293798447	0.9846	0.9846	0.9846
79	10:19:17	4	0.0002	0.09738608642860695	0.06264738738536835	0.9846	0.9846	0.9846
