EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
57	23:32:13	4	0.0016	0.07583128109726371	0.024710599333047867	0.9940	0.9920	0.9930
58	23:32:23	0	0.0008	0.07423067260153439	0.024505209177732468	0.9940	0.9920	0.9930
59	23:32:36	0	0.0008	0.08304097214523627	0.024399617686867714	0.9940	0.9920	0.9930
60	23:32:49	0	0.0008	0.06335096296911337	0.024320336058735847	0.9940	0.9920	0.9930
61	23:33:03	0	0.0008	0.07882099188103968	0.024065662175416946	0.9940	0.9920	0.9930
62	23:33:16	1	0.0008	0.0564272688055525	0.024069715291261673	0.9940	0.9920	0.9930
63	23:33:26	2	0.0008	0.08131907021208686	0.02408709190785885	0.9940	0.9920	0.9930
64	23:33:36	3	0.0008	0.06803322005636837	0.024140525609254837	0.9940	0.9920	0.9930
65	23:33:45	4	0.0008	0.0841724710462957	0.024170538410544395	0.9940	0.9920	0.9930
66	23:33:55	1	0.0004	0.07006521857514673	0.024156780913472176	0.9940	0.9920	0.9930
67	23:34:05	2	0.0004	0.06233221170853595	0.02413870394229889	0.9940	0.9920	0.9930
68	23:34:15	3	0.0004	0.05972268227107671	0.024130554869771004	0.9940	0.9920	0.9930
69	23:34:25	4	0.0004	0.05941579947058035	0.024138998240232468	0.9940	0.9920	0.9930
70	23:34:35	1	0.0002	0.07374973686373963	0.024163274094462395	0.9940	0.9920	0.9930
71	23:34:45	2	0.0002	0.06796020391036053	0.02417691983282566	0.9940	0.9920	0.9930
72	23:34:55	3	0.0002	0.07943467309280318	0.024148674681782722	0.9940	0.9920	0.9930
73	23:35:04	4	0.0002	0.07397702762058803	0.024153919890522957	0.9940	0.9920	0.9930
